home,score,away,Tournament
Germany ,5–1, Scotland,UEFA_Euro_2024
Hungary ,1–3,  Switzerland,UEFA_Euro_2024
Germany ,Match 14, Hungary,UEFA_Euro_2024
Scotland ,Match 13,  Switzerland,UEFA_Euro_2024
Switzerland ,Match 25, Germany,UEFA_Euro_2024
Scotland ,Match 26, Hungary,UEFA_Euro_2024
Spain ,3–0, Croatia,UEFA_Euro_2024
Italy ,2–1, Albania,UEFA_Euro_2024
Croatia ,Match 15, Albania,UEFA_Euro_2024
Spain ,Match 16, Italy,UEFA_Euro_2024
Albania ,Match 27, Spain,UEFA_Euro_2024
Croatia ,Match 28, Italy,UEFA_Euro_2024
Slovenia ,1–1, Denmark,UEFA_Euro_2024
Serbia ,0–1, England,UEFA_Euro_2024
Slovenia ,Match 18, Serbia,UEFA_Euro_2024
Denmark ,Match 17, England,UEFA_Euro_2024
England ,Match 29, Slovenia,UEFA_Euro_2024
Denmark ,Match 30, Serbia,UEFA_Euro_2024
Poland ,1–2, Netherlands,UEFA_Euro_2024
Austria ,0–1, France,UEFA_Euro_2024
Poland ,Match 19, Austria,UEFA_Euro_2024
Netherlands ,Match 20, France,UEFA_Euro_2024
Netherlands ,Match 31, Austria,UEFA_Euro_2024
France ,Match 32, Poland,UEFA_Euro_2024
Romania ,3–0, Ukraine,UEFA_Euro_2024
Belgium ,0–1, Slovakia,UEFA_Euro_2024
Slovakia ,Match 21, Ukraine,UEFA_Euro_2024
Belgium ,Match 22, Romania,UEFA_Euro_2024
Slovakia ,Match 33, Romania,UEFA_Euro_2024
Ukraine ,Match 34, Belgium,UEFA_Euro_2024
Turkey ,3–1, Georgia,UEFA_Euro_2024
Portugal ,Match 12, Czech Republic,UEFA_Euro_2024
Georgia ,Match 24, Czech Republic,UEFA_Euro_2024
Turkey ,Match 23, Portugal,UEFA_Euro_2024
Georgia ,Match 35, Portugal,UEFA_Euro_2024
Czech Republic ,Match 36, Turkey,UEFA_Euro_2024
Runner-up Group A,Match 38,Runner-up Group B,UEFA_Euro_2024
