home,score,away,Tournament
 Spain (holders)[b],"37,962",2,UEFA_Euro_2016
 Germany,"40,236",1,UEFA_Euro_2016
 England,"35,963",3,UEFA_Euro_2016
 Portugal,"35,138",4,UEFA_Euro_2016
 Belgium,"34,442",5,UEFA_Euro_2016
 Italy,"34,345",6,UEFA_Euro_2016
 Russia,"31,345",9,UEFA_Euro_2016
  Switzerland,"31,254",10,UEFA_Euro_2016
 Austria,"30,932",11,UEFA_Euro_2016
 Croatia,"30,642",12,UEFA_Euro_2016
 Ukraine,"30,313",14,UEFA_Euro_2016
 Czech Republic,"29,403",15,UEFA_Euro_2016
 Sweden,"29,028",16,UEFA_Euro_2016
 Poland,"28,306",17,UEFA_Euro_2016
 Romania,"28,038",18,UEFA_Euro_2016
 Slovakia,"27,171",19,UEFA_Euro_2016
 Hungary,"27,142",20,UEFA_Euro_2016
 Turkey,"27,033",22,UEFA_Euro_2016
 Republic of Ireland,"26,902",23,UEFA_Euro_2016
 Iceland,"25,388",27,UEFA_Euro_2016
 Wales,"24,531",28,UEFA_Euro_2016
 Albania,"23,216",31,UEFA_Euro_2016
 Northern Ireland,"22,961",33,UEFA_Euro_2016
 Spain (holders)[b],"43,116",1,UEFA_Euro_2012
 Netherlands,"40,860",2,UEFA_Euro_2012
 Germany,"40,446",3,UEFA_Euro_2012
 Italy,"34,357",4,UEFA_Euro_2012
 England,"33,563",5,UEFA_Euro_2012
 Russia,"33,212",6,UEFA_Euro_2012
 Croatia,"33,003",7,UEFA_Euro_2012
 Greece,"32,455",8,UEFA_Euro_2012
 Portugal,"31,717",9,UEFA_Euro_2012
 Sweden,"31,675",10,UEFA_Euro_2012
 Denmark,"31,205",11,UEFA_Euro_2012
 France,"30,508",12,UEFA_Euro_2012
 Czech Republic,"29,602",13,UEFA_Euro_2012
 Republic of Ireland,"28,576",14,UEFA_Euro_2012
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
,,,2010_FIFA_World_Cup
