home,away,Tournament,HomeGoals,AwayGoals,TotalGoals
Ivory Coast,Portugal,2010_FIFA_World_Cup,0,0,0
Uruguay,France,2010_FIFA_World_Cup,0,0,0
South Africa,Mexico,2010_FIFA_World_Cup,1,1,2
Brazil,North Korea,2010_FIFA_World_Cup,2,1,3
Brazil,Ivory Coast,2010_FIFA_World_Cup,3,1,4
Portugal,North Korea,2010_FIFA_World_Cup,7,0,7
Portugal,Brazil,2010_FIFA_World_Cup,0,0,0
North Korea,Ivory Coast,2010_FIFA_World_Cup,0,3,3
Honduras,Chile,2010_FIFA_World_Cup,0,1,1
Spain,Switzerland,2010_FIFA_World_Cup,0,1,1
Chile,Switzerland,2010_FIFA_World_Cup,1,0,1
Spain,Honduras,2010_FIFA_World_Cup,2,0,2
Chile,Spain,2010_FIFA_World_Cup,1,2,3
Switzerland,Honduras,2010_FIFA_World_Cup,0,0,0
South Africa,Uruguay,2010_FIFA_World_Cup,0,3,3
Uruguay,South Korea,2010_FIFA_World_Cup,2,1,3
Germany,England,2010_FIFA_World_Cup,4,1,5
Argentina,Mexico,2010_FIFA_World_Cup,3,1,4
Netherlands,Slovakia,2010_FIFA_World_Cup,2,1,3
Brazil,Chile,2010_FIFA_World_Cup,3,0,3
Paraguay,Japan,2010_FIFA_World_Cup,0,0,0
Netherlands,Brazil,2010_FIFA_World_Cup,2,1,3
Uruguay,Ghana,2010_FIFA_World_Cup,1,1,2
Argentina,Germany,2010_FIFA_World_Cup,0,4,4
Paraguay,Spain,2010_FIFA_World_Cup,0,1,1
Uruguay,Netherlands,2010_FIFA_World_Cup,2,3,5
Germany,Spain,2010_FIFA_World_Cup,0,1,1
Uruguay,Germany,2010_FIFA_World_Cup,2,3,5
Netherlands,Spain,2010_FIFA_World_Cup,0,1,1
United States,Ghana,2010_FIFA_World_Cup,1,2,3
France,Mexico,2010_FIFA_World_Cup,0,2,2
Spain,Portugal,2010_FIFA_World_Cup,1,0,1
France,South Africa,2010_FIFA_World_Cup,1,2,3
Mexico,Uruguay,2010_FIFA_World_Cup,0,1,1
Slovakia,Italy,2010_FIFA_World_Cup,3,2,5
Italy,New Zealand,2010_FIFA_World_Cup,1,1,2
Slovakia,Paraguay,2010_FIFA_World_Cup,0,2,2
New Zealand,Slovakia,2010_FIFA_World_Cup,1,1,2
Italy,Paraguay,2010_FIFA_World_Cup,1,1,2
Cameroon,Netherlands,2010_FIFA_World_Cup,1,2,3
Denmark,Japan,2010_FIFA_World_Cup,1,3,4
Cameroon,Denmark,2010_FIFA_World_Cup,1,2,3
Netherlands,Japan,2010_FIFA_World_Cup,1,0,1
Japan,Cameroon,2010_FIFA_World_Cup,1,0,1
Netherlands,Denmark,2010_FIFA_World_Cup,2,0,2
Australia,Serbia,2010_FIFA_World_Cup,2,1,3
Ghana,Germany,2010_FIFA_World_Cup,0,1,1
Ghana,Australia,2010_FIFA_World_Cup,1,1,2
Paraguay,New Zealand,2010_FIFA_World_Cup,0,0,0
Germany,Australia,2010_FIFA_World_Cup,4,0,4
South Korea,Greece,2010_FIFA_World_Cup,2,0,2
Germany,Serbia,2010_FIFA_World_Cup,0,1,1
Argentina,Nigeria,2010_FIFA_World_Cup,1,0,1
Argentina,South Korea,2010_FIFA_World_Cup,4,1,5
Nigeria,South Korea,2010_FIFA_World_Cup,2,2,4
Greece,Argentina,2010_FIFA_World_Cup,0,2,2
England,United States,2010_FIFA_World_Cup,1,1,2
Greece,Nigeria,2010_FIFA_World_Cup,2,1,3
Slovenia,United States,2010_FIFA_World_Cup,2,2,4
England,Algeria,2010_FIFA_World_Cup,0,0,0
Slovenia,England,2010_FIFA_World_Cup,0,1,1
United States,Algeria,2010_FIFA_World_Cup,1,0,1
Serbia,Ghana,2010_FIFA_World_Cup,0,1,1
Algeria,Slovenia,2010_FIFA_World_Cup,0,1,1
France,Honduras,2014_FIFA_World_Cup,3,0,3
Argentina,Iran,2014_FIFA_World_Cup,1,0,1
Switzerland,France,2014_FIFA_World_Cup,2,5,7
Honduras,Ecuador,2014_FIFA_World_Cup,1,2,3
Honduras,Switzerland,2014_FIFA_World_Cup,0,3,3
Ecuador,France,2014_FIFA_World_Cup,0,0,0
Argentina,Bosnia and Herzegovina,2014_FIFA_World_Cup,2,1,3
Iran,Nigeria,2014_FIFA_World_Cup,0,0,0
Nigeria,Bosnia and Herzegovina,2014_FIFA_World_Cup,1,0,1
United States,Portugal,2014_FIFA_World_Cup,2,2,4
Bosnia and Herzegovina,Iran,2014_FIFA_World_Cup,3,1,4
Germany,Portugal,2014_FIFA_World_Cup,4,0,4
Ghana,United States,2014_FIFA_World_Cup,1,2,3
Germany,Ghana,2014_FIFA_World_Cup,2,2,4
Switzerland,Ecuador,2014_FIFA_World_Cup,2,1,3
United States,Germany,2014_FIFA_World_Cup,0,1,1
Portugal,Ghana,2014_FIFA_World_Cup,2,1,3
Belgium,Algeria,2014_FIFA_World_Cup,2,1,3
Russia,South Korea,2014_FIFA_World_Cup,1,1,2
Belgium,Russia,2014_FIFA_World_Cup,1,0,1
Nigeria,Argentina,2014_FIFA_World_Cup,2,3,5
Costa Rica,England,2014_FIFA_World_Cup,0,0,0
Japan,Colombia,2014_FIFA_World_Cup,1,4,5
Italy,Costa Rica,2014_FIFA_World_Cup,0,1,1
South Korea,Algeria,2014_FIFA_World_Cup,2,4,6
Brazil,Croatia,2014_FIFA_World_Cup,3,1,4
Mexico,Cameroon,2014_FIFA_World_Cup,1,0,1
Brazil,Mexico,2014_FIFA_World_Cup,0,0,0
Cameroon,Croatia,2014_FIFA_World_Cup,0,4,4
Cameroon,Brazil,2014_FIFA_World_Cup,1,4,5
Croatia,Mexico,2014_FIFA_World_Cup,1,3,4
Spain,Netherlands,2014_FIFA_World_Cup,1,5,6
Australia,Netherlands,2014_FIFA_World_Cup,2,3,5
Italy,Uruguay,2014_FIFA_World_Cup,0,1,1
Spain,Chile,2014_FIFA_World_Cup,0,2,2
Netherlands,Chile,2014_FIFA_World_Cup,2,0,2
Colombia,Greece,2014_FIFA_World_Cup,3,0,3
Ivory Coast,Japan,2014_FIFA_World_Cup,2,1,3
Colombia,Ivory Coast,2014_FIFA_World_Cup,2,1,3
Japan,Greece,2014_FIFA_World_Cup,0,0,0
Greece,Ivory Coast,2014_FIFA_World_Cup,2,1,3
Uruguay,Costa Rica,2014_FIFA_World_Cup,1,3,4
England,Italy,2014_FIFA_World_Cup,1,2,3
Uruguay,England,2014_FIFA_World_Cup,2,1,3
Australia,Spain,2014_FIFA_World_Cup,0,3,3
Chile,Australia,2014_FIFA_World_Cup,3,1,4
Brazil,Chile,2014_FIFA_World_Cup,1,1,2
South Korea,Belgium,2014_FIFA_World_Cup,0,1,1
Algeria,Russia,2014_FIFA_World_Cup,1,1,2
Brazil,Netherlands,2014_FIFA_World_Cup,0,3,3
Netherlands,Argentina,2014_FIFA_World_Cup,0,0,0
Brazil,Germany,2014_FIFA_World_Cup,1,7,8
Netherlands,Costa Rica,2014_FIFA_World_Cup,0,0,0
Argentina,Belgium,2014_FIFA_World_Cup,1,0,1
Brazil,Colombia,2014_FIFA_World_Cup,2,1,3
Germany,Argentina,2014_FIFA_World_Cup,1,0,1
Belgium,United States,2014_FIFA_World_Cup,2,1,3
Argentina,Switzerland,2014_FIFA_World_Cup,1,0,1
Germany,Algeria,2014_FIFA_World_Cup,2,1,3
France,Nigeria,2014_FIFA_World_Cup,2,0,2
Costa Rica,Greece,2014_FIFA_World_Cup,1,1,2
Netherlands,Mexico,2014_FIFA_World_Cup,2,1,3
France,Germany,2014_FIFA_World_Cup,0,1,1
Colombia,Uruguay,2014_FIFA_World_Cup,2,0,2
Japan,Poland,2018_FIFA_World_Cup,0,1,1
Poland,Colombia,2018_FIFA_World_Cup,0,3,3
Japan,Senegal,2018_FIFA_World_Cup,2,2,4
Poland,Senegal,2018_FIFA_World_Cup,1,2,3
Colombia,Japan,2018_FIFA_World_Cup,1,2,3
Panama,Tunisia,2018_FIFA_World_Cup,1,2,3
Tunisia,England,2018_FIFA_World_Cup,1,2,3
